#sersic	abs_mag	color	mor
#mor	0:elliptical	1:spiral
1.834375000000000089e+00 -2.464370727539062500e+01 3.031330108642578125e+00 1.000000000000000000e+00
7.131250000000000089e-01 -2.500632858276367188e+01 2.474401473999023438e+00 0.000000000000000000e+00
1.639375000000000027e+00 -2.452863121032714844e+01 3.011247634887695312e+00 1.000000000000000000e+00
9.568750000000000311e-01 -2.439847564697265625e+01 2.731586456298828125e+00 0.000000000000000000e+00
1.541875000000000107e+00 -2.438387298583984375e+01 2.806716918945312500e+00 0.000000000000000000e+00
9.081249999999999600e-01 -2.337774085998535156e+01 2.427877426147460938e+00 0.000000000000000000e+00
1.590624999999999956e+00 -2.438746070861816406e+01 2.817689895629882812e+00 1.000000000000000000e+00
9.568750000000000311e-01 -2.316344070434570312e+01 2.535018920898437500e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.274815750122070312e+01 2.761510848999023438e+00 0.000000000000000000e+00
1.395624999999999893e+00 -2.299715995788574219e+01 2.585477828979492188e+00 0.000000000000000000e+00
8.593750000000000000e-01 -2.368542480468750000e+01 3.061889648437500000e+00 0.000000000000000000e+00
1.151874999999999982e+00 -2.305025482177734375e+01 2.733102798461914062e+00 0.000000000000000000e+00
6.319374999999999964e+00 -2.799392509460449219e+01 3.176034927368164062e+00 1.000000000000000000e+00
2.126875000000000071e+00 -2.705210685729980469e+01 3.049442291259765625e+00 0.000000000000000000e+00
2.614374999999999893e+00 -2.481684684753417969e+01 3.173746109008789062e+00 1.000000000000000000e+00
1.590624999999999956e+00 -2.417841339111328125e+01 2.821264266967773438e+00 0.000000000000000000e+00
2.078125000000000000e+00 -2.496050262451171875e+01 3.142183303833007812e+00 1.000000000000000000e+00
3.150624999999999787e+00 -2.476552391052246094e+01 3.304166793823242188e+00 1.000000000000000000e+00
7.618749999999999689e-01 -2.515025520324707031e+01 2.816862106323242188e+00 0.000000000000000000e+00
1.493125000000000036e+00 -2.529550170898437500e+01 3.461774826049804688e+00 0.000000000000000000e+00
1.298124999999999973e+00 -2.470762062072753906e+01 3.410333633422851562e+00 0.000000000000000000e+00
8.106250000000000400e-01 -2.392384338378906250e+01 2.364824295043945312e+00 0.000000000000000000e+00
1.493125000000000036e+00 -2.404300498962402344e+01 2.989246368408203125e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.453662490844726562e+01 2.939811706542968750e+00 0.000000000000000000e+00
1.298124999999999973e+00 -2.368497848510742188e+01 2.330429077148437500e+00 0.000000000000000000e+00
1.005624999999999991e+00 -2.421815490722656250e+01 3.495628356933593750e+00 0.000000000000000000e+00
1.103124999999999911e+00 -2.400637245178222656e+01 2.359722137451171875e+00 0.000000000000000000e+00
6.156249999999999778e-01 -2.317525100708007812e+01 2.066965103149414062e+00 0.000000000000000000e+00
1.005624999999999991e+00 -2.360140037536621094e+01 3.328372955322265625e+00 0.000000000000000000e+00
8.593750000000000000e-01 -2.319957733154296875e+01 2.148979187011718750e+00 0.000000000000000000e+00
1.639375000000000027e+00 -2.293303108215332031e+01 2.732713699340820312e+00 0.000000000000000000e+00
