#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
  1.989441024689e+00 -1.853449208274e+00  1.661529973534e+00 -1.286811831397e+00   2.002181751573e+00 -1.856157620877e+00  1.669138114509e+00 -1.294555534368e+00
  2.002181751573e+00 -1.856157620877e+00  1.669138114509e+00 -1.294555534368e+00   2.019647308723e+00 -1.859614106556e+00  1.679540662379e+00 -1.305021840795e+00
  2.019647308723e+00 -1.859614106556e+00  1.679540662379e+00 -1.305021840795e+00   2.037898390333e+00 -1.862889613766e+00  1.690367722378e+00 -1.315767196576e+00
  2.037898390333e+00 -1.862889613766e+00  1.690367722378e+00 -1.315767196576e+00   2.050703284229e+00 -1.864968994369e+00  1.697930860516e+00 -1.323184121313e+00
  2.050703284229e+00 -1.864968994369e+00  1.697930860516e+00 -1.323184121313e+00   2.075182627264e+00 -1.868401496022e+00  1.712293864529e+00 -1.337068086284e+00
  2.075182627264e+00 -1.868401496022e+00  1.712293864529e+00 -1.337068086284e+00   2.082784955408e+00 -1.869312479086e+00  1.716724174659e+00 -1.341297352899e+00
  2.082784955408e+00 -1.869312479086e+00  1.716724174659e+00 -1.341297352899e+00   2.114614034353e+00 -1.872242168663e+00  1.735076676233e+00 -1.358547728806e+00
  2.114614034353e+00 -1.872242168663e+00  1.735076676233e+00 -1.358547728806e+00   2.116155274159e+00 -1.872345158753e+00  1.735956103382e+00 -1.359363369927e+00
  2.116155274159e+00 -1.872345158753e+00  1.735956103382e+00 -1.359363369927e+00   2.123898156778e+00 -1.872804008317e+00  1.740359325029e+00 -1.363431975553e+00
  2.123898156778e+00 -1.872804008317e+00  1.740359325029e+00 -1.363431975553e+00   2.148606823304e+00 -1.873570146904e+00  1.754224766946e+00 -1.376075786788e+00
  2.148606823304e+00 -1.873570146904e+00  1.754224766946e+00 -1.376075786788e+00   2.153364607541e+00 -1.873585928069e+00  1.756857782411e+00 -1.378447573368e+00
  2.153364607541e+00 -1.873585928069e+00  1.756857782411e+00 -1.378447573368e+00   2.181742761353e+00 -1.872673910807e+00  1.772260759442e+00 -1.392129465494e+00
  2.181742761353e+00 -1.872673910807e+00  1.772260759442e+00 -1.392129465494e+00   2.194098828544e+00 -1.871674023735e+00  1.778777232748e+00 -1.397815411939e+00
  2.194098828544e+00 -1.871674023735e+00  1.778777232748e+00 -1.397815411939e+00   2.216897806880e+00 -1.868687200648e+00  1.790417856019e+00 -1.407811993319e+00
  2.216897806880e+00 -1.868687200648e+00  1.790417856019e+00 -1.407811993319e+00   2.256617796368e+00 -1.858930864191e+00  1.809061144230e+00 -1.423349502034e+00
  2.256617796368e+00 -1.858930864191e+00  1.809061144230e+00 -1.423349502034e+00   2.269445314595e+00 -1.854122206874e+00  1.814450652303e+00 -1.427716291441e+00
  2.269445314595e+00 -1.854122206874e+00  1.814450652303e+00 -1.427716291441e+00   2.333356577799e+00 -1.804795585852e+00  1.830763870168e+00 -1.440442497488e+00
  2.333356577799e+00 -1.804795585852e+00  1.830763870168e+00 -1.440442497488e+00   2.346930682912e+00 -1.779610427807e+00  1.827784785887e+00 -1.438313584549e+00
  2.346930682912e+00 -1.779610427807e+00  1.827784785887e+00 -1.438313584549e+00   2.356903637925e+00 -1.690550145631e+00  1.793389435069e+00 -1.415460088987e+00
  2.356903637925e+00 -1.690550145631e+00  1.793389435069e+00 -1.415460088987e+00   2.356359210498e+00 -1.685651338159e+00  1.790786242915e+00 -1.413807336635e+00
  2.356359210498e+00 -1.685651338159e+00  1.790786242915e+00 -1.413807336635e+00   2.352441314958e+00 -1.661222416968e+00  1.776994847750e+00 -1.405185149698e+00
  2.352441314958e+00 -1.661222416968e+00  1.776994847750e+00 -1.405185149698e+00   2.349244196405e+00 -1.646675931201e+00  1.768194716133e+00 -1.399791618051e+00
  2.349244196405e+00 -1.646675931201e+00  1.768194716133e+00 -1.399791618051e+00   2.343464088489e+00 -1.625140992216e+00  1.754444674795e+00 -1.391516981715e+00
  2.343464088489e+00 -1.625140992216e+00  1.754444674795e+00 -1.391516981715e+00   2.336915223894e+00 -1.604642401991e+00  1.740625537701e+00 -1.383374022831e+00
  2.336915223894e+00 -1.604642401991e+00  1.740625537701e+00 -1.383374022831e+00   2.332467702086e+00 -1.592150121819e+00  1.731881618063e+00 -1.378305597167e+00
  2.332467702086e+00 -1.592150121819e+00  1.731881618063e+00 -1.378305597167e+00   2.322605402498e+00 -1.567120458200e+00  1.713683288719e+00 -1.367953152273e+00
  2.322605402498e+00 -1.567120458200e+00  1.713683288719e+00 -1.367953152273e+00   2.320114049259e+00 -1.561236702335e+00  1.709280914759e+00 -1.365487019673e+00
  2.320114049259e+00 -1.561236702335e+00  1.709280914759e+00 -1.365487019673e+00   2.307021667576e+00 -1.532393773630e+00  1.687060724874e+00 -1.353256045101e+00
  2.307021667576e+00 -1.532393773630e+00  1.687060724874e+00 -1.353256045101e+00   2.306762063699e+00 -1.531851344857e+00  1.686633061578e+00 -1.353024091841e+00
  2.306762063699e+00 -1.531851344857e+00  1.686633061578e+00 -1.353024091841e+00   2.305220993051e+00 -1.528651545983e+00  1.684103167776e+00 -1.351654551510e+00
  2.305220993051e+00 -1.528651545983e+00  1.684103167776e+00 -1.351654551510e+00   2.292632581364e+00 -1.503656034784e+00  1.663934748631e+00 -1.340893175986e+00
  2.292632581364e+00 -1.503656034784e+00  1.663934748631e+00 -1.340893175986e+00   2.290419746648e+00 -1.499446096202e+00  1.660469197462e+00 -1.339071539930e+00
  2.290419746648e+00 -1.499446096202e+00  1.660469197462e+00 -1.339071539930e+00   2.277873082221e+00 -1.476425037224e+00  1.641185599962e+00 -1.329078520940e+00
  2.277873082221e+00 -1.476425037224e+00  1.641185599962e+00 -1.329078520940e+00   2.273074797024e+00 -1.467957085940e+00  1.633955129788e+00 -1.325393131755e+00
  2.273074797024e+00 -1.467957085940e+00  1.633955129788e+00 -1.325393131755e+00   2.262587934128e+00 -1.449998605278e+00  1.618386793445e+00 -1.317569452505e+00
  2.262587934128e+00 -1.449998605278e+00  1.618386793445e+00 -1.317569452505e+00   2.255126813509e+00 -1.437627788676e+00  1.607483033169e+00 -1.312179282764e+00
  2.255126813509e+00 -1.437627788676e+00  1.607483033169e+00 -1.312179282764e+00   2.246854249522e+00 -1.424258709573e+00  1.595540411331e+00 -1.306358810002e+00
  2.246854249522e+00 -1.424258709573e+00  1.595540411331e+00 -1.306358810002e+00   2.236663164350e+00 -1.408236331923e+00  1.581016827206e+00 -1.299396291078e+00
  2.236663164350e+00 -1.408236331923e+00  1.581016827206e+00 -1.299396291078e+00   2.230730944842e+00 -1.399115171786e+00  1.572649117307e+00 -1.295442007327e+00
  2.230730944842e+00 -1.399115171786e+00  1.572649117307e+00 -1.295442007327e+00   2.217745690884e+00 -1.379621775612e+00  1.554530947487e+00 -1.287021741556e+00
  2.217745690884e+00 -1.379621775612e+00  1.554530947487e+00 -1.287021741556e+00   2.214264264091e+00 -1.374497210203e+00  1.549715994009e+00 -1.284816436345e+00
  2.214264264091e+00 -1.374497210203e+00  1.549715994009e+00 -1.284816436345e+00   2.198419506428e+00 -1.351662442787e+00  1.528006478735e+00 -1.275040928367e+00
  2.198419506428e+00 -1.351662442787e+00  1.528006478735e+00 -1.275040928367e+00   2.197491298563e+00 -1.350348052371e+00  1.526744459064e+00 -1.274481068300e+00
  2.197491298563e+00 -1.350348052371e+00  1.526744459064e+00 -1.274481068300e+00   2.191482690869e+00 -1.341897807247e+00  1.518599365499e+00 -1.270889872862e+00
  2.191482690869e+00 -1.341897807247e+00  1.518599365499e+00 -1.270889872862e+00   2.179930776427e+00 -1.325920949917e+00  1.503052758260e+00 -1.264141571883e+00
  2.179930776427e+00 -1.325920949917e+00  1.503052758260e+00 -1.264141571883e+00   2.178031937290e+00 -1.323326905617e+00  1.500510779640e+00 -1.263051415982e+00
  2.178031937290e+00 -1.323326905617e+00  1.500510779640e+00 -1.263051415982e+00   2.161928224971e+00 -1.301665372442e+00  1.479094968235e+00 -1.254014463331e+00
  2.161928224971e+00 -1.301665372442e+00  1.479094968235e+00 -1.254014463331e+00   2.157042663751e+00 -1.295206731968e+00  1.472645527311e+00 -1.251344573050e+00
  2.157042663751e+00 -1.295206731968e+00  1.472645527311e+00 -1.251344573050e+00   2.143809761973e+00 -1.277957034929e+00  1.455280304084e+00 -1.244274645298e+00
  2.143809761973e+00 -1.277957034929e+00  1.455280304084e+00 -1.244274645298e+00   2.135878045292e+00 -1.267778979747e+00  1.444940540826e+00 -1.240147375722e+00
  2.135878045292e+00 -1.267778979747e+00  1.444940540826e+00 -1.240147375722e+00   2.125598974808e+00 -1.254757098633e+00  1.431613185539e+00 -1.234918456273e+00
  2.125598974808e+00 -1.254757098633e+00  1.431613185539e+00 -1.234918456273e+00   2.114557089276e+00 -1.240968590578e+00  1.417383483762e+00 -1.229448827776e+00
  2.114557089276e+00 -1.240968590578e+00  1.417383483762e+00 -1.229448827776e+00   2.107316856181e+00 -1.232033662864e+00  1.408099570099e+00 -1.225943576759e+00
  2.107316856181e+00 -1.232033662864e+00  1.408099570099e+00 -1.225943576759e+00   2.093095287111e+00 -1.214714390270e+00  1.389966331341e+00 -1.219242057635e+00
  2.093095287111e+00 -1.214714390270e+00  1.389966331341e+00 -1.219242057635e+00   2.088982513673e+00 -1.209760357638e+00  1.384746846403e+00 -1.217348771817e+00
  2.088982513673e+00 -1.209760357638e+00  1.384746846403e+00 -1.217348771817e+00   2.071505465391e+00 -1.188965727756e+00  1.362684553137e+00 -1.209523509617e+00
  2.071505465391e+00 -1.188965727756e+00  1.362684553137e+00 -1.209523509617e+00   2.070613658246e+00 -1.187915406222e+00  1.361563761913e+00 -1.209133677207e+00
  2.070613658246e+00 -1.187915406222e+00  1.361563761913e+00 -1.209133677207e+00   2.065620420031e+00 -1.182053273504e+00  1.355297186844e+00 -1.206967839823e+00
  2.065620420031e+00 -1.182053273504e+00  1.355297186844e+00 -1.206967839823e+00   2.052130584849e+00 -1.166369557629e+00  1.338440270731e+00 -1.201258542368e+00
  2.052130584849e+00 -1.166369557629e+00  1.338440270731e+00 -1.201258542368e+00   2.049798386367e+00 -1.163680103862e+00  1.335536575389e+00 -1.200292367376e+00
